Credito_Cuenta,Debito_Cuenta,FechaDeEntrada,Modulo,Cantidad,CodigoDeTransacción,NumeroDeTransacción,CR_Socio,DR_Socio,DR_Account,CR_Account
20001.01.00001120.0000,50003.01,1/31/2026,FIN DE MES,9.38,Pago De Interes 1/31/2026,Pago De Interes,1120,0,50003,20001
20001.01.00001134.0000,50003.01,1/31/2026,FIN DE MES,0.17,Pago De Interes 1/31/2026,Pago De Interes,1134,0,50003,20001
20001.01.00001138.0000,50003.01,1/31/2026,FIN DE MES,3.4,Pago De Interes 1/31/2026,Pago De Interes,1138,0,50003,20001
20001.01.00001147.0000,50003.01,1/31/2026,FIN DE MES,1.67,Pago De Interes 1/31/2026,Pago De Interes,1147,0,50003,20001
20001.01.00001174.0000,50003.01,1/31/2026,FIN DE MES,0.28,Pago De Interes 1/31/2026,Pago De Interes,1174,0,50003,20001
20001.01.00001175.0000,50003.01,1/31/2026,FIN DE MES,1.2,Pago De Interes 1/31/2026,Pago De Interes,1175,0,50003,20001
20001.01.00001180.0000,50003.01,1/31/2026,FIN DE MES,0.11,Pago De Interes 1/31/2026,Pago De Interes,1180,0,50003,20001
20001.01.00001192.0000,50003.01,1/31/2026,FIN DE MES,7.51,Pago De Interes 1/31/2026,Pago De Interes,1192,0,50003,20001
20001.01.00001196.0000,50003.01,1/31/2026,FIN DE MES,35.25,Pago De Interes 1/31/2026,Pago De Interes,1196,0,50003,20001
20001.01.00001208.0000,50003.01,1/31/2026,FIN DE MES,1.51,Pago De Interes 1/31/2026,Pago De Interes,1208,0,50003,20001
20001.01.00001224.0000,50003.01,1/31/2026,FIN DE MES,5.36,Pago De Interes 1/31/2026,Pago De Interes,1224,0,50003,20001
20001.01.00001225.0000,50003.01,1/31/2026,FIN DE MES,0.02,Pago De Interes 1/31/2026,Pago De Interes,1225,0,50003,20001
20001.01.00001228.0000,50003.01,1/31/2026,FIN DE MES,10.59,Pago De Interes 1/31/2026,Pago De Interes,1228,0,50003,20001
20001.01.00001234.0000,50003.01,1/31/2026,FIN DE MES,18.79,Pago De Interes 1/31/2026,Pago De Interes,1234,0,50003,20001
20001.01.00001240.0000,50003.01,1/31/2026,FIN DE MES,0.09,Pago De Interes 1/31/2026,Pago De Interes,1240,0,50003,20001
20001.01.00001253.0000,50003.01,1/31/2026,FIN DE MES,0.03,Pago De Interes 1/31/2026,Pago De Interes,1253,0,50003,20001
20001.01.00001273.0000,50003.01,1/31/2026,FIN DE MES,39.02,Pago De Interes 1/31/2026,Pago De Interes,1273,0,50003,20001
20001.01.00001281.0000,50003.01,1/31/2026,FIN DE MES,5.54,Pago De Interes 1/31/2026,Pago De Interes,1281,0,50003,20001
20001.01.00001284.0000,50003.01,1/31/2026,FIN DE MES,0.48,Pago De Interes 1/31/2026,Pago De Interes,1284,0,50003,20001
20001.01.00001288.0000,50003.01,1/31/2026,FIN DE MES,0.01,Pago De Interes 1/31/2026,Pago De Interes,1288,0,50003,20001
20001.01.00001300.0000,50003.01,1/31/2026,FIN DE MES,35.12,Pago De Interes 1/31/2026,Pago De Interes,1300,0,50003,20001
20001.01.00001301.0000,50003.01,1/31/2026,FIN DE MES,0.99,Pago De Interes 1/31/2026,Pago De Interes,1301,0,50003,20001
20001.01.00001302.0000,50003.01,1/31/2026,FIN DE MES,112.94,Pago De Interes 1/31/2026,Pago De Interes,1302,0,50003,20001
20001.01.00001328.0000,50003.01,1/31/2026,FIN DE MES,1.15,Pago De Interes 1/31/2026,Pago De Interes,1328,0,50003,20001
20001.01.00001332.0000,50003.01,1/31/2026,FIN DE MES,42.43,Pago De Interes 1/31/2026,Pago De Interes,1332,0,50003,20001
20001.01.00001343.0000,50003.01,1/31/2026,FIN DE MES,0.02,Pago De Interes 1/31/2026,Pago De Interes,1343,0,50003,20001
20001.01.00001345.0000,50003.01,1/31/2026,FIN DE MES,98.58,Pago De Interes 1/31/2026,Pago De Interes,1345,0,50003,20001
20001.01.00001369.0000,50003.01,1/31/2026,FIN DE MES,21.45,Pago De Interes 1/31/2026,Pago De Interes,1369,0,50003,20001
20001.01.00001379.0000,50003.01,1/31/2026,FIN DE MES,4.16,Pago De Interes 1/31/2026,Pago De Interes,1379,0,50003,20001
20001.01.00001389.0000,50003.01,1/31/2026,FIN DE MES,6.15,Pago De Interes 1/31/2026,Pago De Interes,1389,0,50003,20001
20001.01.00001393.0000,50003.01,1/31/2026,FIN DE MES,0.46,Pago De Interes 1/31/2026,Pago De Interes,1393,0,50003,20001
20001.01.00001394.0000,50003.01,1/31/2026,FIN DE MES,0.98,Pago De Interes 1/31/2026,Pago De Interes,1394,0,50003,20001
20001.01.00001395.0000,50003.01,1/31/2026,FIN DE MES,0.91,Pago De Interes 1/31/2026,Pago De Interes,1395,0,50003,20001
20001.01.00001398.0000,50003.01,1/31/2026,FIN DE MES,14.63,Pago De Interes 1/31/2026,Pago De Interes,1398,0,50003,20001
20001.01.00001398.0001,50003.01,1/31/2026,FIN DE MES,5.65,Pago De Interes 1/31/2026,Pago De Interes,1398,0,50003,20001
20001.01.00001410.0000,50003.01,1/31/2026,FIN DE MES,43.21,Pago De Interes 1/31/2026,Pago De Interes,1410,0,50003,20001
20001.01.00001423.0000,50003.01,1/31/2026,FIN DE MES,7.97,Pago De Interes 1/31/2026,Pago De Interes,1423,0,50003,20001
20001.01.00001451.0000,50003.01,1/31/2026,FIN DE MES,0.08,Pago De Interes 1/31/2026,Pago De Interes,1451,0,50003,20001
20001.01.00001457.0000,50003.01,1/31/2026,FIN DE MES,28.1,Pago De Interes 1/31/2026,Pago De Interes,1457,0,50003,20001
20001.01.00001458.0000,50003.01,1/31/2026,FIN DE MES,2.68,Pago De Interes 1/31/2026,Pago De Interes,1458,0,50003,20001
20001.01.00001463.0000,50003.01,1/31/2026,FIN DE MES,14.51,Pago De Interes 1/31/2026,Pago De Interes,1463,0,50003,20001
20001.01.00001466.0000,50003.01,1/31/2026,FIN DE MES,0.05,Pago De Interes 1/31/2026,Pago De Interes,1466,0,50003,20001
20001.01.00001467.0000,50003.01,1/31/2026,FIN DE MES,3.05,Pago De Interes 1/31/2026,Pago De Interes,1467,0,50003,20001
20001.01.00001469.0000,50003.01,1/31/2026,FIN DE MES,30.94,Pago De Interes 1/31/2026,Pago De Interes,1469,0,50003,20001
20001.01.00001471.0000,50003.01,1/31/2026,FIN DE MES,0.21,Pago De Interes 1/31/2026,Pago De Interes,1471,0,50003,20001
20001.01.00001490.0000,50003.01,1/31/2026,FIN DE MES,17.63,Pago De Interes 1/31/2026,Pago De Interes,1490,0,50003,20001
20001.01.00001504.0000,50003.01,1/31/2026,FIN DE MES,0.15,Pago De Interes 1/31/2026,Pago De Interes,1504,0,50003,20001
20001.01.00001509.0000,50003.01,1/31/2026,FIN DE MES,56.4,Pago De Interes 1/31/2026,Pago De Interes,1509,0,50003,20001
20001.01.00001511.0000,50003.01,1/31/2026,FIN DE MES,2.81,Pago De Interes 1/31/2026,Pago De Interes,1511,0,50003,20001
20001.01.00001515.0000,50003.01,1/31/2026,FIN DE MES,0.06,Pago De Interes 1/31/2026,Pago De Interes,1515,0,50003,20001
20001.01.00001520.0000,50003.01,1/31/2026,FIN DE MES,2.18,Pago De Interes 1/31/2026,Pago De Interes,1520,0,50003,20001
20001.01.00001531.0000,50003.01,1/31/2026,FIN DE MES,9.56,Pago De Interes 1/31/2026,Pago De Interes,1531,0,50003,20001
20001.01.00001533.0000,50003.01,1/31/2026,FIN DE MES,14.4,Pago De Interes 1/31/2026,Pago De Interes,1533,0,50003,20001
20001.01.00001540.0000,50003.01,1/31/2026,FIN DE MES,46.77,Pago De Interes 1/31/2026,Pago De Interes,1540,0,50003,20001
