ID,ProfessionType,Descripción,Description,BSARanking
 ,130,Corredor Valores,Agent of Values,M
 ,131,Cosmetologa,Cosmetologist,M
 ,132,Costurera,Seamstress,L
 ,133,Cuido de Envejecientes,Elders Care,L
 ,134,Cuido de Niños,Babysitter,M
 ,135,Dealer de Autos,Car Dealer,H
 ,136,Dealer de Botes,Boat Dealer,H
 ,137,Decorador,Decorator,M
 ,138,Delineante,Delineate,L
 ,139,Dentista,Dentist,M
 ,140,Desempleado,Unemployed,L
 ,141,Dietista,Dietician,M
 ,142,Director Asociado,Associated Director,M
 ,143,Director Centro de Peajes,Toll Center Director,M
 ,144,Director de Escuela,School Director,M
 ,145,Director de Finanzas,Finance Director,M
 ,146,Director Médico,Medical Director,L
 ,147,Director Programa Federal,Federal Program Director,L
 ,148,Diseñador,Designer,M
 ,149,Diseñador de Interiores,Interiors Designer,M
 ,150,Distribuidor de Mercancias,Merchandiser,M
 ,151,Dueño Compañia Sistemas Computadoras,Computer Systems Company Owner,M
 ,152,Dueño Compañia Puertas y Ventanas,Windows & Doors Company Owner,M
 ,153,Dueño Tienda Artesania,Artisan Shop Owner,M
 ,154,Dueño Venta Piezas de Auto,Auto Parts Sales Owner,M
 ,155,Dueño Alquiler Equipo Entretenimiento,Owner Entertainment Equipment,M
 ,156,Dueño Centro Cuido de Niños,Owner Child Care Center,M
 ,157,Dueño Centro Gomas de Auto,Auto Tire Center Owner,M
 ,158,Dueño Colmado o Tienda,Grocery Store Owner,H
 ,159,Dueño Compañia Construcción,Construction Company Owner,M
 ,160,Dueño Compañia de Seguridad,Security Company Owner,H
 ,161,Dueño Compañia Sellado de Techos,Sealed Roofs Company Owner,M
 ,162,Dueño de Farmacia,Pharmacy Owner,M
 ,163,Dueño de Ferreteria,Hardware Store Owner,M
 ,164,Dueño de Floristeria,Flower Shop Owner,M
 ,165,Dueño de Funeraria,Funeral Parlor Owner,M
 ,166,Dueño de Hospedaje,Lodging Owner,M
 ,167,Dueño de Licoreria,Liquor Store Owner,H
 ,168,Dueño de Muebleria,Furniture Store Owner,M
 ,169,Dueño de Panaderia,Bakery Owner,M
 ,170,Dueño de Perfumeria,Perfumes Store Owner,M
 ,171,Dueño de Restaurante,Restaurant Owner,M
 ,172,Dueño de Salón de Belleza,Beauty Salon Owner,M
 ,173,Dueño de Supermercado,Supermarket Owner,H
 ,174,Dueño de Equipo de Sonido,Disk Jockey,M
 ,175,Dueño Estación Cambio de Cheques,Check Cashing Station Owner,H
 ,176,Dueño Estación de Gasolina,Gas Station Owner,H
 ,177,Dueño Laboratorio Clínico,Clinical Laboratory Owner,M
 ,178,Dueño Máquinas Dulces y Refrescos,Vending Machines Owner,M
 ,179,Dueño Negocio Cortinas de Lona,Canvas Curtains Business Owner,M
 ,180,Dueño Restaurante Mobil,Mobile Restaurant Owner,M
 ,181,Dueño Taller de Hojalateria,Tinsmith Shop Owner,M
 ,182,Dueño Tienda Celulares,Owner Cellular Phone Store,M
 ,183,Dueño Tienda de Matress,Owner of Matress Store,M
 ,184,Dueño Tienda de Zapatos,Shoe Store Owner,M
 ,185,Dueño Tienda Efectos Agricolas,Agriculture Effects Store Owner,M
 ,186,Dueño Tienda Venta de Mascotas,Pet Shop Owner,M
 ,187,Ebanista,Cabinet Maker,M
 ,188,Economista,Economist,L
 ,189,Educador de Salud,Health Educator,L
 ,190,Ejecutivo de Ventas,Sales Executive,M
 ,191,Electricista,Electrician,M
 ,192,Embalsamador,Work in Funeral Home,L
 ,193,Empacador,Bagger,L
 ,194,Empleado CDT,CDT Employee,L
